name,rg_label,agent_type,genome_type,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,host_breadth,infects_humans,taxonomic_family,ncbi_tax_id,source_count,feature_sources,n_real_features
Alphavirus ndumu,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,2.0,,Togaviridae,3426310.0,2,ictv|olival,8
Alphavirus onyong,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426312.0,1,ictv,4
Alphavirus pixuna,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,3.0,,Togaviridae,3426313.0,2,ictv|olival,8
Alphavirus rossriver,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426314.0,1,ictv,4
Alphavirus salmon,1,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426315.0,1,ictv,4
Alphavirus semliki,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426317.0,1,ictv,4
Alphavirus sindbis,2,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,10.0,,Togaviridae,3426318.0,2,ictv|olival,8
Alphavirus una,2,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,3.0,,Togaviridae,3426321.0,2,ictv|olival,8
Alphavirus venezuelan,3,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426322.0,1,ictv,4
Alphavirus venezuelan TC-83,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,,1,ictv,4
Alphavirus western,3,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426323.0,1,ictv,4
Alphavirus whataroa,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426324.0,1,ictv,4
Amdoparvovirus carnivoran1,1,Virus,ssDNA,1.0,0.0,,,,,,Parvoviridae,3051624.0,1,ictv,4
Aparavirus apisacutum,2,Virus,ssRNA+,0.0,,,,,,,Dicistroviridae,3047346.0,1,ictv,3
Aparavirus tauraense,1,Virus,ssRNA+,0.0,,,,,,,Dicistroviridae,3048357.0,1,ictv,3
Aphthovirus bogeli,1,Virus,ssRNA+,0.0,0.0,,,,,,Picornaviridae,3426398.0,1,ictv,4
Aphthovirus reedi,1,Virus,ssRNA+,0.0,0.0,,,,,,Picornaviridae,3426400.0,1,ictv,4
Aquabirnavirus salmonidae,1,Virus,dsRNA,0.0,,,,,,,Birnaviridae,3048153.0,1,ictv,3
Aransas Bay virus,3,Virus,,,1.0,0.0,0.0,0.0,13.0,,,1428582.0,1,olival,5
Aripo virus,2,Virus,,,1.0,0.0,0.0,0.0,2.0,,,2861005.0,1,olival,5
Arurhavirus inhangapi,3,Virus,ssRNA-,0.0,1.0,,,,,,Rhabdoviridae,2734371.0,1,ictv,4
Arurhavirus xiburema,3,Virus,ssRNA-,0.0,1.0,,,,,,Rhabdoviridae,2734373.0,1,ictv,4
Asfivirus haemorrhagiae (African swine fever virus),1,Virus,dsDNA,1.0,1.0,0.0,0.0,0.0,3.0,,Asfarviridae,,2,ictv|olival,8
Ash River virus,3,Virus,,,1.0,0.0,0.0,1.0,6.0,,,466216.0,1,olival,5
Aurivirus haliotidmalaco1,1,Virus,dsDNA,1.0,1.0,,,,1.0,0.0,Malacoherpesviridae,3416944.0,2,ictv|virushostdb,6
Ausdyk disease virus,2,Virus,,,1.0,0.0,0.0,0.0,11.0,,,,1,olival,5
Avastrovirus galli,2,Virus,ssRNA+,0.0,0.0,,,,,,Astroviridae,3426505.0,1,ictv,4
Avastrovirus intestini,2,Virus,ssRNA+,0.0,0.0,,,,,,Astroviridae,3426506.0,1,ictv,4
Avastrovirus meleagridis,2,Virus,ssRNA+,0.0,0.0,,,,,,Astroviridae,3426507.0,1,ictv,4
Aviadenovirus ventriculi,1,Virus,dsDNA,1.0,0.0,0.0,0.0,0.0,1.0,,Adenoviridae,3426541.0,2,ictv|olival,8
Avian orthoavulavirus 1 Newcastle disease virus (NDV) strain TS09-C,2,Virus,,,1.0,0.0,0.0,0.0,1.0,,,,1,olival,5
Avibirnavirus gumboroense,1,Virus,dsRNA,0.0,,,,,,,Birnaviridae,3048151.0,1,ictv,3
Avipoxvirus canarypox,1,Virus,dsDNA,1.0,1.0,,,,,,Poxviridae,3426548.0,1,ictv,4
Avipoxvirus canarypox Replication-defective ALVAC vectors,1,Virus,dsDNA,1.0,1.0,,,,,,Poxviridae,,1,ictv,4
Avipoxvirus fowlpox,1,Virus,dsDNA,1.0,1.0,,,,,,Poxviridae,3426550.0,1,ictv,4
Avipoxvirus pigeonpox,1,Virus,dsDNA,1.0,1.0,,,,,,Poxviridae,3426552.0,1,ictv,4
Avipoxvirus quailpox,1,Virus,dsDNA,1.0,1.0,,,,,,Poxviridae,3426553.0,1,ictv,4
Avipoxvirus turkeypox,1,Virus,dsDNA,1.0,1.0,,,,,,Poxviridae,3426554.0,1,ictv,4
Bacteriophages,1,Virus,,,,,,,1.0,1.0,,38018.0,1,virushostdb,2
Baku virus,2,Virus,,,1.0,1.0,0.0,0.0,6.0,,,1484571.0,1,olival,5
Bandavirus bhanjanagarense,3,Virus,other,0.0,1.0,,,,,,Phenuiviridae,3051989.0,1,ictv,4
Bandavirus dabieense,3,Virus,other,0.0,1.0,,,,,,Phenuiviridae,2748958.0,1,ictv,4
Bandavirus heartlandense,2,Virus,other,0.0,1.0,,,,,,Phenuiviridae,3051992.0,1,ictv,4
Bandavirus razdanense,3,Virus,other,0.0,1.0,,,,,,Phenuiviridae,3051994.0,1,ictv,4
Bangui virus,2,Virus,,,1.0,1.0,0.0,0.0,1.0,,,2748253.0,1,olival,5
Barthadenovirus galloanserae,1,Virus,dsDNA,1.0,0.0,,,,,,Adenoviridae,3426632.0,1,ictv,4
Barthadenovirus ovis,2,Virus,dsDNA,1.0,0.0,0.0,0.0,0.0,1.0,,Adenoviridae,3426638.0,2,ictv|olival,8
Batravirus ranidallo1,1,Virus,dsDNA,1.0,1.0,,,,,,Alloherpesviridae,3050346.0,1,ictv,4
Bauline virus,2,Virus,,,1.0,1.0,0.0,0.0,1.0,,,3459226.0,1,olival,5
Betaarterivirus americense,1,Virus,ssRNA+,0.0,1.0,,,,,,Arteriviridae,2499685.0,1,ictv,4
Betaarterivirus europensis,1,Virus,ssRNA+,0.0,1.0,,,,,,Arteriviridae,3411021.0,1,ictv,4
Betabaculovirus adoranae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047349.0,1,ictv,3
Betabaculovirus agsegetum,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047353.0,1,ictv,3
