name,rg_label,rg_label_raw,genome_type_enc,taxonomic_family_enc,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,infects_humans,host_breadth
Alphainfluenzavirus influenzae cH6/1N5,1,2,5,29,0.0,1.0,,,,,
Alphanodavirus nodamuraense,1,2,4,27,0.0,0.0,,,,,
Alphapapillomavirus 1-14,1,2,0,30,1.0,0.0,0.0,0.0,0.0,,1.0
Alphapolyomavirus nonihominis,1,2,0,38,1.0,0.0,,,,,
Alphapolyomavirus octihominis,1,2,0,38,1.0,0.0,,,,,
Alphapolyomavirus quintihominis,1,2,0,38,1.0,0.0,,,,,
Alpharetrovirus avileu,0,1,2,40,0.0,1.0,,,,,
Alpharetrovirus avimyebla,0,1,2,40,0.0,1.0,,,,,
Alpharetrovirus avimyecyt29,0,1,2,40,0.0,1.0,,,,,
Alpharetrovirus avirousar,1,2,2,40,0.0,1.0,,,,,
Alpharetrovirus avisar10,1,2,2,40,0.0,1.0,,,,,
Alphavirus aura,2,3,4,45,0.0,1.0,0.0,0.0,1.0,,2.0
Alphavirus barmah,1,2,4,45,0.0,1.0,,,,,
Alphavirus bebaru,1,2,4,45,0.0,1.0,0.0,0.0,0.0,,1.0
Alphavirus cabassou,2,3,4,45,0.0,1.0,0.0,0.0,0.0,,1.0
Alphavirus chikungunya,2,3,4,45,0.0,1.0,0.0,0.0,1.0,,16.0
Alphavirus chikungunya 181/clone 25,1,2,4,45,0.0,1.0,0.0,0.0,1.0,,16.0
Alphavirus eastern,2,3,4,45,0.0,1.0,,,,,
Alphavirus everglades,2,3,4,45,0.0,1.0,0.0,0.0,1.0,,4.0
Alphavirus fortmorgan,1,2,4,45,0.0,1.0,,,,,
Alphavirus getah,1,2,4,45,0.0,1.0,0.0,0.0,1.0,,3.0
Alphavirus highlandsj,1,2,4,45,0.0,1.0,,,,,
Alphavirus mayaro,1,2,4,45,0.0,1.0,0.0,0.0,1.0,,18.0
Alphavirus mucambo,2,3,4,45,0.0,1.0,0.0,0.0,0.0,,4.0
Alphavirus ndumu,2,3,4,45,0.0,1.0,0.0,0.0,1.0,,2.0
Alphavirus onyong,1,2,4,45,0.0,1.0,,,,,
Alphavirus pixuna,2,3,4,45,0.0,1.0,0.0,0.0,1.0,,3.0
Alphavirus rossriver,1,2,4,45,0.0,1.0,,,,,
Alphavirus salmon,0,1,4,45,0.0,1.0,,,,,
Alphavirus semliki,1,2,4,45,0.0,1.0,,,,,
Alphavirus sindbis,1,2,4,45,0.0,1.0,0.0,0.0,1.0,,10.0
Alphavirus una,1,2,4,45,0.0,1.0,0.0,0.0,1.0,,3.0
Alphavirus venezuelan,2,3,4,45,0.0,1.0,,,,,
Alphavirus venezuelan TC-83,1,2,4,45,0.0,1.0,,,,,
Alphavirus western,2,3,4,45,0.0,1.0,,,,,
Alphavirus whataroa,1,2,4,45,0.0,1.0,,,,,
Amdoparvovirus carnivoran1,0,1,3,32,1.0,0.0,,,,,
Aparavirus apisacutum,1,2,4,15,0.0,,,,,,
Aparavirus tauraense,0,1,4,15,0.0,,,,,,
Aphthovirus bogeli,0,1,4,36,0.0,0.0,,,,,
Aphthovirus reedi,0,1,4,36,0.0,0.0,,,,,
Aquabirnavirus salmonidae,0,1,1,9,0.0,,,,,,
Aransas Bay virus,2,3,6,47,,1.0,0.0,0.0,0.0,,13.0
Aripo virus,1,2,6,47,,1.0,0.0,0.0,0.0,,2.0
Arurhavirus inhangapi,2,3,5,41,0.0,1.0,,,,,
Arurhavirus xiburema,2,3,5,41,0.0,1.0,,,,,
Asfivirus haemorrhagiae (African swine fever virus),0,1,0,6,1.0,1.0,0.0,0.0,0.0,,3.0
Ash River virus,2,3,6,47,,1.0,0.0,0.0,1.0,,6.0
Aurivirus haliotidmalaco1,0,1,0,24,1.0,1.0,,,,0.0,1.0
Ausdyk disease virus,1,2,6,47,,1.0,0.0,0.0,0.0,,11.0
Avastrovirus galli,1,2,4,7,0.0,0.0,,,,,
Avastrovirus intestini,1,2,4,7,0.0,0.0,,,,,
Avastrovirus meleagridis,1,2,4,7,0.0,0.0,,,,,
Aviadenovirus ventriculi,0,1,0,0,1.0,0.0,0.0,0.0,0.0,,1.0
Avian orthoavulavirus 1 Newcastle disease virus (NDV) strain TS09-C,1,2,6,47,,1.0,0.0,0.0,0.0,,1.0
Avibirnavirus gumboroense,0,1,1,9,0.0,,,,,,
Avipoxvirus canarypox,0,1,0,39,1.0,1.0,,,,,
Avipoxvirus canarypox Replication-defective ALVAC vectors,0,1,0,39,1.0,1.0,,,,,
Avipoxvirus fowlpox,0,1,0,39,1.0,1.0,,,,,
Avipoxvirus pigeonpox,0,1,0,39,1.0,1.0,,,,,
Avipoxvirus quailpox,0,1,0,39,1.0,1.0,,,,,
Avipoxvirus turkeypox,0,1,0,39,1.0,1.0,,,,,
Bacteriophages,0,1,6,47,,,,,,1.0,1.0
Baku virus,1,2,6,47,,1.0,1.0,0.0,0.0,,6.0
Bandavirus bhanjanagarense,2,3,2,35,0.0,1.0,,,,,
Bandavirus dabieense,2,3,2,35,0.0,1.0,,,,,
Bandavirus heartlandense,1,2,2,35,0.0,1.0,,,,,
Bandavirus razdanense,2,3,2,35,0.0,1.0,,,,,
Bangui virus,1,2,6,47,,1.0,1.0,0.0,0.0,,1.0
Barthadenovirus galloanserae,0,1,0,0,1.0,0.0,,,,,
Barthadenovirus ovis,1,2,0,0,1.0,0.0,0.0,0.0,0.0,,1.0
Batravirus ranidallo1,0,1,0,1,1.0,1.0,,,,,
Bauline virus,1,2,6,47,,1.0,1.0,0.0,0.0,,1.0
Betaarterivirus americense,0,1,4,5,0.0,1.0,,,,,
Betaarterivirus europensis,0,1,4,5,0.0,1.0,,,,,
Betabaculovirus adoranae,0,1,0,8,1.0,,,,,,
Betabaculovirus agsegetum,0,1,0,8,1.0,,,,,,
Betabaculovirus alterclanastomosis,0,1,0,8,1.0,,,,,,
Betabaculovirus arrapae,0,1,0,8,1.0,,,,,0.0,1.0
Betabaculovirus chofumiferanae,0,1,0,8,1.0,,,,,,
Betabaculovirus clanachoretae,0,1,0,8,1.0,,,,,,
Betabaculovirus clanastomosis,0,1,0,8,1.0,,,,,,
Betabaculovirus cryleucotretae,0,1,0,8,1.0,,,,,,
Betabaculovirus cypomonellae,0,1,0,8,1.0,,,,,,
Betabaculovirus disaccharalis,0,1,0,8,1.0,,,,,,
Betabaculovirus epaporemae,0,1,0,8,1.0,,,,,,
Betabaculovirus erellonis,0,1,0,8,1.0,,,,,,
Betabaculovirus habrilliantis,0,1,0,8,1.0,,,,,,
Betabaculovirus helarmigerae,0,1,0,8,1.0,,,,,,
Betabaculovirus lacoleraceae,0,1,0,8,1.0,,,,,,
Betabaculovirus myunipunctae,0,1,0,8,1.0,,,,,,
Betabaculovirus phoperculellae,0,1,0,8,1.0,,,,,,
Betabaculovirus plinterpunctellae,0,1,0,8,1.0,,,,,,
Betabaculovirus pluxylostellae,0,1,0,8,1.0,,,,,,
Betabaculovirus spliturae,0,1,0,8,1.0,,,,,,
Betabaculovirus spofrugiperdae,0,1,0,8,1.0,,,,,,
Betabaculovirus trini,0,1,0,8,1.0,,,,,,
Betabaculovirus xecnigri,0,1,0,8,1.0,,,,,,
Betacoronavirus cameli,2,3,4,13,0.0,1.0,0.0,0.0,0.0,,1.0
Betacoronavirus gravedinis (excluding human coronavirus OC43),0,1,4,13,0.0,1.0,0.0,0.0,0.0,,1.0
Betacoronavirus gravedinis (human coronavirus OC43),1,2,4,13,0.0,1.0,0.0,0.0,0.0,,1.0
Betacoronavirus muris,1,2,4,13,0.0,1.0,0.0,0.0,0.0,,1.0
Betainfluenzavirus influenzae,1,2,5,29,0.0,1.0,,,,,
Betapolyomavirus hominis,1,2,0,38,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Betapolyomavirus macacae,1,2,0,38,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Betapolyomavirus quartihominis,1,2,0,38,1.0,0.0,,,,,
Betapolyomavirus secuhominis,1,2,0,38,1.0,0.0,,,,,
Betapolyomavirus tertihominis,1,2,0,38,1.0,0.0,,,,1.0,1.0
Betaretrovirus maspfimon,0,1,2,40,0.0,1.0,,,,,
Betaretrovirus murmamtum,0,1,2,40,0.0,1.0,,,,,
Bocaparvovirus primate1,1,2,3,32,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Bocaparvovirus primate2,1,2,3,32,1.0,0.0,,,,,
Bocaparvovirus ungulate1,0,1,3,32,1.0,0.0,0.0,0.0,0.0,,1.0
Bourbon virus,2,3,6,47,,1.0,0.0,0.0,1.0,0.0,1.0
Bovine viral diarrhea virus,0,1,6,47,,1.0,0.0,0.0,0.0,0.0,1.0
Calbertado virus,0,1,6,47,,1.0,0.0,0.0,0.0,,1.0
Calchaqui virus,2,3,6,47,,1.0,0.0,0.0,0.0,,1.0
Capripoxvirus goatpox,0,1,0,39,1.0,1.0,0.0,0.0,0.0,,1.0
Capripoxvirus lumpyskinpox,0,1,0,39,1.0,1.0,,,,,
Capripoxvirus sheeppox,0,1,0,39,1.0,1.0,0.0,0.0,0.0,,2.0
Cardiovirus rueckerti,0,1,4,36,0.0,0.0,,,,,
Cardiovirus theileri,0,1,4,36,0.0,0.0,,,,,
Cell fusing agent virus,0,1,6,47,,1.0,0.0,0.0,1.0,0.0,2.0
ChimeriVax-West Nile virus vaccine,0,1,6,47,,1.0,0.0,0.0,1.0,,25.0
Chloriridovirus simulium1,0,1,0,22,1.0,,,,,,
Circovirus porcine1,0,1,3,12,1.0,0.0,,,,,
Circovirus porcine2,0,1,3,12,1.0,0.0,,,,,
"Cold-adapted, temperature-sensitive and attenuated influenza A/Norway/31694/2022 (H1N1) virus",1,2,6,47,,1.0,1.0,0.0,1.0,,22.0
"Cold-adapted, temperature-sensitive, and attenuated influenza A/Thailand/8/2022 (H3N2)-like virus",1,2,6,47,,1.0,1.0,0.0,1.0,,22.0
Coltivirus dermacentoris,1,2,1,43,0.0,,,,,,
Coltivirus ixodis,1,2,1,43,0.0,,,,,,
Culex flavivirus,0,1,6,47,,,,,,0.0,1.0
Culex theileri flavivirus,0,1,6,47,,,,,,0.0,3.0
Curiovirus rochambeau,2,3,5,41,0.0,1.0,,,,,
Cytomegalovirus cercopithecinebeta5,1,2,0,28,1.0,,,,,,
Cytomegalovirus humanbeta5,1,2,0,28,1.0,,,,,,
Cyvirus cyprinidallo3,0,1,0,1,1.0,1.0,,,,,
Deltaarterivirus hemfev,1,2,4,5,0.0,1.0,,,,,
Deltabaculovirus cunigripalpi,0,1,0,8,1.0,,,,,,
Deltacoronavirus suis,1,2,4,13,0.0,1.0,0.0,0.0,0.0,,7.0
Deltapapillomavirus 3,0,1,0,30,1.0,0.0,0.0,0.0,0.0,,2.0
Deltapolyomavirus septihominis,1,2,0,38,1.0,0.0,,,,,
Deltapolyomavirus sextihominis,1,2,0,38,1.0,0.0,,,,,
Deltaretrovirus bovleu,0,1,2,40,0.0,1.0,,,,,
Dengue virus quadrivalent vaccine V181,0,1,6,47,,1.0,0.0,0.0,1.0,,25.0
Dependoparvovirus anseriform1,0,1,3,32,1.0,0.0,,,,,
Dependoparvovirus primate1,0,1,3,32,1.0,0.0,,,,,
Dependoparvovirus primate1 AAV9-GP-AAV-syn-jGCaMP8f-WPRE,0,1,3,32,1.0,0.0,,,,,
Dependoparvovirus primate1 AAV9-hDlx-GiDREADD-dTomato-Fishell-5,0,1,3,32,1.0,0.0,,,,,
Dependoparvovirus primate1 encoding Human Tau gene insert (Tau E14 P301),1,2,3,32,1.0,0.0,,,,,
Dependoparvovirus primate1 encoding antisense RNA to DMPK transgene,1,2,3,32,1.0,0.0,,,,,
Dianlovirus menglaense,3,4,5,16,0.0,1.0,,,,0.0,1.0
Ebolaviruses,3,4,6,47,,1.0,0.0,0.0,0.0,,1.0
Elephantpox virus,1,2,6,47,,1.0,0.0,0.0,0.0,,2.0
Enterovirus SV-16 ATCC VR-211,1,2,6,47,,1.0,0.0,0.0,1.0,,3.0
Enterovirus SV-18 ATCC VR-212,1,2,6,47,,1.0,0.0,0.0,1.0,,3.0
Enterovirus SV-2 ATCC VR-210,1,2,6,47,,1.0,0.0,0.0,1.0,,3.0
Enterovirus SV-26 ATCC VR-290,1,2,6,47,,1.0,0.0,0.0,1.0,,3.0
Enterovirus SV-28 ATCC VR-291,1,2,6,47,,1.0,0.0,0.0,1.0,,3.0
Enterovirus SV-35 ATCC VR-292,1,2,6,47,,1.0,0.0,0.0,1.0,,3.0
Enterovirus SV-4 ATCC VR-287,1,2,6,47,,1.0,0.0,0.0,1.0,,3.0
Enterovirus alphacoxsackie,1,2,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus alphacoxsackie simian virus 19 (SV-19) ATCC VR-213,1,2,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus alpharhino,1,2,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus betacoxsackie,1,2,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus betarhino,1,2,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus cerhino,1,2,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol coxsackievirus A21,1,2,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol novel oral polio vaccine 1 (nOPV1),2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol novel oral polio vaccine 2 (nOPV2),2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol novel oral polio vaccine 3 (nOPV3),2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol poliovirus 1,2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol poliovirus 2,2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol poliovirus 3,2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol poliovirus Sabin oral vaccine 1 (OPV1),2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol poliovirus Sabin oral vaccine 2 (OPV2),2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol poliovirus Sabin oral vaccine 3 (OPV3),2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol vaccine-derived poliovirus 1,2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol vaccine-derived poliovirus 2,2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus coxsackiepol vaccine-derived poliovirus 3,2,3,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus deconjuncti,1,2,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Enterovirus eibovi,0,1,4,36,0.0,0.0,0.0,0.0,1.0,,3.0
Env pseudotyped Human immunodeficiency virus,2,3,6,47,,1.0,0.0,0.0,0.0,,1.0
Ephemerovirus adelaide,1,2,5,41,0.0,1.0,,,,,
Ephemerovirus berrimah,2,3,5,41,0.0,1.0,0.0,0.0,0.0,,1.0
Ephemerovirus febris,0,1,5,41,0.0,1.0,,,,,
Ephemerovirus kimberley,2,3,5,41,0.0,1.0,,,,,
Ephemerovirus kotonkan,1,2,5,41,0.0,1.0,0.0,0.0,1.0,,4.0
Ephemerovirus puchong,1,2,5,41,0.0,1.0,,,,,
Ephemerovirus yata,1,2,5,41,0.0,1.0,,,,,
Eptesicus fuscus gammaherpesvirus,1,2,6,47,,,,,,0.0,1.0
Equine parapoxvirus,1,2,6,47,,1.0,0.0,0.0,0.0,,2.0
Erbovirus aequirhi,0,1,4,36,0.0,0.0,,,,,
