name,taxonomic_family,genome_type,known_rg,spillover_probability,rg3_rg4_probability,discordance_score,discordance_quadrant
Alphabaculovirus lafiscellariae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus leseparatae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus lydisparis,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus lyxylinae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus mabrassicae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus maconfiguratae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus mavitratae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus orleucostigmae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus orpseudotsugatae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus spexiguae,Baculoviridae,dsDNA,1,0.0016013996,0.009274905,-0.0076735048,Low spillover / Low severity
Alphabaculovirus splittoralis,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus spliturae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus spofrugiperdae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus sujujubae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus thorichlaceae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus trini,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphabaculovirus wisignatae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Alphacoronavirus porci,Coronaviridae,ssRNA+,1,0.0016013996,0.55908626,-0.55748487,Low spillover / High severity
Alphacoronavirus suis,Coronaviridae,ssRNA+,1,0.0016013996,0.55908626,-0.55748487,Low spillover / High severity
Alphainfluenzavirus influenzae (H1N1)pdm09,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae (H1N2)v,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/American wigeon/South Carolina/22-000345-001/2021 (H5N1) IDCDC-RG78A,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Anhui/01/2005(H5N1)-PR8 IDCDC RG6,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Anhui/1/2013(H7N9)-PR8 NIBRG-268,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Ann Arbor/6/60 cold-adapted (H2N2),Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Astrakhan/3212/2020 (H5N8) IDCDC-RG71A,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38M),Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38T),Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181A,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181B,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X179A,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Chicken/Bangladesh/11rs1984-30/2011(H5N1)-PR8 IDCDC RG36,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Chicken/Hong Kong/G9/97(H9N2)-PR8 NIBRG-91,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Chicken/Vietnam/NCVD-03/2008(H5N1)-PR8-IDCDC-25a,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Egypt/N03072/2010(H5N1)-PR8-IDCDC-29,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Hong Kong/125/2017(H7N9)-IDCDC-RG56B,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Hubei/1/2010(H5N1)-PR8-IDCDC-30,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/India/NIV/2006(H5N1)-PR8-IBCDC-RG7,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Indonesia/5/2005(H5N1)-PR8 IDCDC RG2,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N1)-PR8 NIBRG-63,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N3)-PR8 NIBRG-60,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N7)-IBCDC-1,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/NWS/G70c (H1N9),Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/New Jersey/8/1976 H1N1,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1),Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1)-NA(Bov),Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934(H1N1)-PA(I38T),Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 IDCDC-RG32A,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 NIBRG-267,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Sichuan/26221/2014(H5N6)-PR8 IDCDC RG42A,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Turkey/1/2005(H5N1)-PR8 NIBRG-23,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Turkey/Virginia/4529/2002(H7N2)-PR8-IBCDC-5,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/Vietnam/1194/2004(H5N1)-PR8 NIBRG-14,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/Vietnam/1203/2004(H5N1)-PR8 SJRG-161052,Orthomyxoviridae,ssRNA-,2,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae A/gyrfalcon/Washington/41088-6/2014(H5N8)-PR8 IDCDC-RG43A,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae A/pheasant/New Jersey/1355/1998(H5N2)/PR8-IBCDC-4,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H10N8,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H11N2,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H11N6,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H12N5,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H13N6,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H14N5,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H15N9,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H1N1 reconstructed 1918 strain,Orthomyxoviridae,ssRNA-,4,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae H1N9,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H2N2,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H2N3,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H2N5,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H3N2,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H3N6,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H3N8 (avian and zoonotic),Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H3N8 (canine),Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H3N8 (equine),Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H3N9,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H4N3,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H4N6,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H5N1,Orthomyxoviridae,ssRNA-,3,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae H5N1 transmissible engineered strain,Orthomyxoviridae,ssRNA-,4,0.005376685,0.64547855,-0.64010185,Low spillover / High severity
Alphainfluenzavirus influenzae H5N2,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H5N3,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H5N5,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H5N6,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H5N9,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H6N1,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H6N4,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H6N5,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H7N3,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H7N7,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H7N8,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H7N9,Orthomyxoviridae,ssRNA-,3,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H8N4,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae H9N2,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphainfluenzavirus influenzae cH6/1N5,Orthomyxoviridae,ssRNA-,2,0.0016013996,0.7187638,-0.71716243,Low spillover / High severity
Alphanodavirus nodamuraense,Nodaviridae,ssRNA+,2,0.0016013996,0.6345177,-0.63291633,Low spillover / High severity
Alphapapillomavirus 1-14,Papillomaviridae,dsDNA,2,0.0016013996,0.07561784,-0.074016444,Low spillover / Low severity
Alphapolyomavirus nonihominis,Polyomaviridae,dsDNA,2,0.0016013996,0.26754788,-0.26594648,Low spillover / Low severity
Alphapolyomavirus octihominis,Polyomaviridae,dsDNA,2,0.0016013996,0.26754788,-0.26594648,Low spillover / Low severity
Alphapolyomavirus quintihominis,Polyomaviridae,dsDNA,2,0.0016013996,0.26754788,-0.26594648,Low spillover / Low severity
Alpharetrovirus avileu,Retroviridae,other,1,0.0016013996,0.23695526,-0.23535386,Low spillover / Low severity
Alpharetrovirus avimyebla,Retroviridae,other,1,0.0016013996,0.23695526,-0.23535386,Low spillover / Low severity
Alpharetrovirus avimyecyt29,Retroviridae,other,1,0.0016013996,0.23695526,-0.23535386,Low spillover / Low severity
Alpharetrovirus avirousar,Retroviridae,other,2,0.0016013996,0.23695526,-0.23535386,Low spillover / Low severity
Alpharetrovirus avisar10,Retroviridae,other,2,0.0016013996,0.23695526,-0.23535386,Low spillover / Low severity
Alphavirus aura,Togaviridae,ssRNA+,3,0.0029756394,0.80384046,-0.8008648,Low spillover / High severity
Alphavirus barmah,Togaviridae,ssRNA+,2,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus bebaru,Togaviridae,ssRNA+,2,0.0016013996,0.76544154,-0.76384014,Low spillover / High severity
Alphavirus cabassou,Togaviridae,ssRNA+,3,0.0016013996,0.76544154,-0.76384014,Low spillover / High severity
Alphavirus chikungunya,Togaviridae,ssRNA+,3,0.005376685,0.7861652,-0.7807885,Low spillover / High severity
Alphavirus chikungunya 181/clone 25,Togaviridae,ssRNA+,2,0.005376685,0.7861652,-0.7807885,Low spillover / High severity
Alphavirus eastern,Togaviridae,ssRNA+,3,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus everglades,Togaviridae,ssRNA+,3,0.005376685,0.7887266,-0.78334993,Low spillover / High severity
Alphavirus fortmorgan,Togaviridae,ssRNA+,2,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus getah,Togaviridae,ssRNA+,2,0.005376685,0.6754201,-0.6700434,Low spillover / High severity
Alphavirus highlandsj,Togaviridae,ssRNA+,2,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus mayaro,Togaviridae,ssRNA+,2,0.005376685,0.71433777,-0.70896107,Low spillover / High severity
Alphavirus mucambo,Togaviridae,ssRNA+,3,0.005376685,0.8337498,-0.8283731,Low spillover / High severity
Alphavirus ndumu,Togaviridae,ssRNA+,3,0.0029756394,0.80384046,-0.8008648,Low spillover / High severity
Alphavirus onyong,Togaviridae,ssRNA+,2,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus pixuna,Togaviridae,ssRNA+,3,0.005376685,0.6754201,-0.6700434,Low spillover / High severity
Alphavirus rossriver,Togaviridae,ssRNA+,2,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus salmon,Togaviridae,ssRNA+,1,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus semliki,Togaviridae,ssRNA+,2,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus sindbis,Togaviridae,ssRNA+,2,0.005376685,0.7406311,-0.7352544,Low spillover / High severity
Alphavirus una,Togaviridae,ssRNA+,2,0.005376685,0.6754201,-0.6700434,Low spillover / High severity
Alphavirus venezuelan,Togaviridae,ssRNA+,3,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus venezuelan TC-83,Togaviridae,ssRNA+,2,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus western,Togaviridae,ssRNA+,3,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Alphavirus whataroa,Togaviridae,ssRNA+,2,0.0016013996,0.78502744,-0.78342605,Low spillover / High severity
Amdoparvovirus carnivoran1,Parvoviridae,ssDNA,1,0.0016013996,0.13518402,-0.13358262,Low spillover / Low severity
Aparavirus apisacutum,Dicistroviridae,ssRNA+,2,0.0016013996,0.8070169,-0.8054155,Low spillover / High severity
Aparavirus tauraense,Dicistroviridae,ssRNA+,1,0.0016013996,0.8070169,-0.8054155,Low spillover / High severity
Aphthovirus bogeli,Picornaviridae,ssRNA+,1,0.0016013996,0.7371444,-0.735543,Low spillover / High severity
Aphthovirus reedi,Picornaviridae,ssRNA+,1,0.0016013996,0.7371444,-0.735543,Low spillover / High severity
Aquabirnavirus salmonidae,Birnaviridae,dsRNA,1,0.0016013996,0.8531546,-0.8515532,Low spillover / High severity
Aransas Bay virus,unknown,unknown,3,0.005376685,0.733151,-0.7277743,Low spillover / High severity
Aripo virus,unknown,unknown,2,0.0029756394,0.57169485,-0.5687192,Low spillover / High severity
Arurhavirus inhangapi,Rhabdoviridae,ssRNA-,3,0.0016013996,0.7680722,-0.7664708,Low spillover / High severity
Arurhavirus xiburema,Rhabdoviridae,ssRNA-,3,0.0016013996,0.7680722,-0.7664708,Low spillover / High severity
Asfivirus haemorrhagiae (African swine fever virus),Asfarviridae,dsDNA,1,0.005376685,0.043626506,-0.03824982,Low spillover / Low severity
Ash River virus,unknown,unknown,3,0.005376685,0.7283998,-0.7230231,Low spillover / High severity
Aurivirus haliotidmalaco1,Malacoherpesviridae,dsDNA,1,0.0016013996,0.031659402,-0.030058002,Low spillover / Low severity
Ausdyk disease virus,unknown,unknown,2,0.005376685,0.5969344,-0.5915577,Low spillover / High severity
Avastrovirus galli,Astroviridae,ssRNA+,2,0.0016013996,0.31547734,-0.31387594,Low spillover / Low severity
Avastrovirus intestini,Astroviridae,ssRNA+,2,0.0016013996,0.31547734,-0.31387594,Low spillover / Low severity
Avastrovirus meleagridis,Astroviridae,ssRNA+,2,0.0016013996,0.31547734,-0.31387594,Low spillover / Low severity
Aviadenovirus ventriculi,Adenoviridae,dsDNA,1,0.0016013996,0.10976984,-0.108168446,Low spillover / Low severity
Avian orthoavulavirus 1 Newcastle disease virus (NDV) strain TS09-C,unknown,unknown,2,0.0016013996,0.55825526,-0.55665386,Low spillover / High severity
Avibirnavirus gumboroense,Birnaviridae,dsRNA,1,0.0016013996,0.8531546,-0.8515532,Low spillover / High severity
Avipoxvirus canarypox,Poxviridae,dsDNA,1,0.0016013996,0.21270111,-0.21109971,Low spillover / Low severity
Avipoxvirus canarypox Replication-defective ALVAC vectors,Poxviridae,dsDNA,1,0.0016013996,0.21270111,-0.21109971,Low spillover / Low severity
Avipoxvirus fowlpox,Poxviridae,dsDNA,1,0.0016013996,0.21270111,-0.21109971,Low spillover / Low severity
Avipoxvirus pigeonpox,Poxviridae,dsDNA,1,0.0016013996,0.21270111,-0.21109971,Low spillover / Low severity
Avipoxvirus quailpox,Poxviridae,dsDNA,1,0.0016013996,0.21270111,-0.21109971,Low spillover / Low severity
Avipoxvirus turkeypox,Poxviridae,dsDNA,1,0.0016013996,0.21270111,-0.21109971,Low spillover / Low severity
Bacteriophages,unknown,unknown,1,0.0060108164,0.36079654,-0.3547857,Low spillover / Low severity
Baku virus,unknown,unknown,2,0.005376685,0.68060386,-0.67522717,Low spillover / High severity
Bandavirus bhanjanagarense,Phenuiviridae,other,3,0.0016013996,0.68514764,-0.68354625,Low spillover / High severity
Bandavirus dabieense,Phenuiviridae,other,3,0.0016013996,0.68514764,-0.68354625,Low spillover / High severity
Bandavirus heartlandense,Phenuiviridae,other,2,0.0016013996,0.68514764,-0.68354625,Low spillover / High severity
Bandavirus razdanense,Phenuiviridae,other,3,0.0016013996,0.68514764,-0.68354625,Low spillover / High severity
Bangui virus,unknown,unknown,2,0.0016013996,0.53746307,-0.5358617,Low spillover / High severity
Barthadenovirus galloanserae,Adenoviridae,dsDNA,1,0.0016013996,0.09415098,-0.092549585,Low spillover / Low severity
Barthadenovirus ovis,Adenoviridae,dsDNA,2,0.0016013996,0.10976984,-0.108168446,Low spillover / Low severity
Batravirus ranidallo1,Alloherpesviridae,dsDNA,1,0.0016013996,0.11780387,-0.11620247,Low spillover / Low severity
Bauline virus,unknown,unknown,2,0.0016013996,0.53746307,-0.5358617,Low spillover / High severity
Betaarterivirus americense,Arteriviridae,ssRNA+,1,0.0016013996,0.7601376,-0.7585362,Low spillover / High severity
Betaarterivirus europensis,Arteriviridae,ssRNA+,1,0.0016013996,0.7601376,-0.7585362,Low spillover / High severity
Betabaculovirus adoranae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Betabaculovirus agsegetum,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Betabaculovirus alterclanastomosis,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Betabaculovirus arrapae,Baculoviridae,dsDNA,1,0.0016013996,0.009274905,-0.0076735048,Low spillover / Low severity
Betabaculovirus chofumiferanae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Betabaculovirus clanachoretae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Betabaculovirus clanastomosis,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
Betabaculovirus cryleucotretae,Baculoviridae,dsDNA,1,0.0016013996,0.06758499,-0.06598359,Low spillover / Low severity
